study,latin_name,historic_low_limit,historic_mean_limit,historic_upper_limit,modern_low_limit,modern_mean_elevation,modern_upper_limit,change_low_limit,change_mean_elevation,change_upper_limit
Bassler et al. 2013 beetle,Hylobius piceus,NA,NA,1320,NA,NA,1420,NA,NA,100
Bassler et al. 2013 beetle,Hylurgops palliatus,NA,NA,700,NA,NA,1284,NA,NA,584
Bassler et al. 2013 beetle,Hypera rumicis,NA,NA,680,NA,NA,1080,NA,NA,400
Bassler et al. 2013 beetle,Hypnoidus riparius,NA,NA,1320,NA,NA,1182,NA,NA,-138
Bassler et al. 2013 beetle,Ilybius quadriguttatus,NA,NA,750,NA,NA,737,NA,NA,-13
Bassler et al. 2013 beetle,Ips typographus,NA,NA,1150,NA,NA,1420,NA,NA,270
Bassler et al. 2013 beetle,Ischnomera sanguinicollis,NA,NA,700,NA,NA,1047,NA,NA,347
Bassler et al. 2013 beetle,Ischnopterapion virens,NA,NA,680,NA,NA,1350,NA,NA,670
Bassler et al. 2013 beetle,Lagria hirta,NA,NA,680,NA,NA,1080,NA,NA,400
Bassler et al. 2013 beetle,Lathrobium fulvipenne,NA,NA,1450,NA,NA,1406,NA,NA,-44
Bassler et al. 2013 beetle,Latridius minutus,NA,NA,680,NA,NA,715,NA,NA,35
Bassler et al. 2013 beetle,Limodromus assimilis,NA,NA,1050,NA,NA,810,NA,NA,-240
Bassler et al. 2013 beetle,Liogluta alpestris,NA,NA,1320,NA,NA,1154,NA,NA,-166
Bassler et al. 2013 beetle,Lochmaea capreae,NA,NA,700,NA,NA,1215,NA,NA,515
Bassler et al. 2013 beetle,Longitarsus luridus,NA,NA,680,NA,NA,810,NA,NA,130
Bassler et al. 2013 beetle,Lordithon exoletus,NA,NA,1150,NA,NA,1163,NA,NA,13
Bassler et al. 2013 beetle,Lordithon lunulatus,NA,NA,1150,NA,NA,1287,NA,NA,137
Bassler et al. 2013 beetle,Lordithon trimaculatus,NA,NA,750,NA,NA,929,NA,NA,179
Bassler et al. 2013 beetle,Loricera pilicornis,NA,NA,1050,NA,NA,1106,NA,NA,56
Bassler et al. 2013 beetle,Luperus viridipennis,NA,NA,800,NA,NA,1150,NA,NA,350
Bassler et al. 2013 beetle,Magdalis nitida,NA,NA,680,NA,NA,1352,NA,NA,672
Bassler et al. 2013 beetle,Malthodes guttifer,NA,NA,950,NA,NA,945,NA,NA,-5
Bassler et al. 2013 beetle,Megarthrus sinuatocollis,NA,NA,680,NA,NA,1080,NA,NA,400
Bassler et al. 2013 beetle,Megasternum obscurum,NA,NA,1320,NA,NA,1380,NA,NA,60
Bassler et al. 2013 beetle,Melanotus castanipes,NA,NA,950,NA,NA,1420,NA,NA,470
Bassler et al. 2013 beetle,Meligethes denticulatus,NA,NA,950,NA,NA,1350,NA,NA,400
Bassler et al. 2013 beetle,Meligethes viridescens,NA,NA,1320,NA,NA,1284,NA,NA,-36
Bassler et al. 2013 beetle,Meloe violaceus,NA,NA,950,NA,NA,818,NA,NA,-132
Bassler et al. 2013 beetle,Micropeplus porcatus,NA,NA,680,NA,NA,1136,NA,NA,456
Bassler et al. 2013 beetle,Molops elatus,NA,NA,750,NA,NA,945,NA,NA,195
Bassler et al. 2013 beetle,Molorchus minor,NA,NA,1150,NA,NA,1352,NA,NA,202
Bassler et al. 2013 beetle,Monochamus sutor,NA,NA,1150,NA,NA,1215,NA,NA,65
Bassler et al. 2013 beetle,Monotoma longicollis,NA,NA,680,NA,NA,1225,NA,NA,545
Bassler et al. 2013 beetle,Mordella aculeata,NA,NA,680,NA,NA,800,NA,NA,120
Bassler et al. 2013 beetle,Mycetoporus solidicornis,NA,NA,680,NA,NA,740,NA,NA,60
Bassler et al. 2013 beetle,Necrophorus vespillo,NA,NA,950,NA,NA,990,NA,NA,40
Bassler et al. 2013 beetle,Necrophorus vespilloides,NA,NA,950,NA,NA,1420,NA,NA,470
Bassler et al. 2013 beetle,Neogalerucella lineola,NA,NA,680,NA,NA,1334,NA,NA,654
Bassler et al. 2013 beetle,Notiophilus biguttatus,NA,NA,1450,NA,NA,1220,NA,NA,-230
Bassler et al. 2013 beetle,Notothecta flavipes,NA,NA,950,NA,NA,669,NA,NA,-281
Bassler et al. 2013 beetle,Nudobius lentus,NA,NA,800,NA,NA,1420,NA,NA,620
